0,"         You've given it all you can, And your life is in the garbage can, And you say you're tired and dry, Cuz your mind won't let you cry, So you hang up what is left inside And you want to kiss it all goodbye. You're lost in space, you're swirling ever higher, You're lost on your own, you're too far from home. You're no one's friend, you gave it your best try yeah! You're stuck in the drone, of being alone. You turn to light, but all you get is darkness, Your head turns to stone, your numbness has grown. You're stuck inside your little world of rejects, The good world unknown, you're stuck in the drone.        "
1,"         You were the one, You were my everything. Never apart, No one in-between. Then one day, When you went your own way, You felt justified, And I was mortified. But today... You are just a picture And a thousand memories Is all I take with me 'Cuz your smile Is just too much to see. You're just a thousand memories. Fantasies, broken dreams,Reveries, sordid histories. Following my heart,Laden with reaction Without calibration or design. Committed to a trial, A life of understanding. Can't somebody show a sign to you For me to see if you only knew That you were the one... You were the one, You were my everything. Never apart, No one in-between. Then one day, When you went your own way, You felt justified, And I was mortified. But today... You are just a picture And a thousand memories Is all I take with me 'Cuz a picture is worth One thousand memories.        "
2,"         I heard them say that the meek shall reign on earth,Phantasmal myriads of sane bucolic birth. I've seen the rapture in a starving baby's eyes,Inchoate beatitude, the Lord of the Flies. So what does it mean when your mind starts to stray?Kaleidoscopic images of love on the way. Brother you'd better get down on your knees and pay. 1000 more fools are being born every fucking day. They try to tell me that the lamb is on the way, With microwave transmissions they bombard us every day. The masses are obsequious, contented in their sleep. The vortex of their minds ensconsed within the murky deep. So what does it mean when your mind starts to stray? Kaleidoscopic images of love on the way. Brother you'd better get down on your knees and pay. 1000 more fools are being born every fucking day.        "
3,"         I can't believe it, The way you look sometimes, Like a trampled flag on a city street, Oh yeah. And I don't want it, The things you're offering me, Symbolized bar code, quick ID, Oh yeah. I'm a 21st century digital boy, I don't know how to live But I've got a lot of toys, My daddy is a lazy middle class intellectual, My mommy's on valium, She's so ineffectual, Ain't life a mystery? I can't explain it, The things they're saying to me, It's going yayayayayayaya, Oh yeah. I'm a 21st century digital boy, I don't know how to read But I've got a lot of toys, My daddy is a lazy middle class intellectual, My mommy's on valium, She's so ineffectual, Ain't life a mystery? I tried to tell you about no control, But now I really don't know. And then you told me how bad you had to suffer, Is that really all you have to offer? See I'm a 21st century digital boy, I don't know how to read But I've got a lot of toys, My daddy is a lazy middle class intellectual, My mommy's on valium, She's so ineffectual, Ain't life a mystery? Cat's foot, iron claw, (21st century digital boy) Neurosurgeons scream for more, (21st century digital boy) Innocence raped with napalm fire, (21st century digital boy) Anything I want, I really need. (21st century digital boy) 21st century schitzoid boy, 21st century video boy, 21st century digital boy, 21st century sofa boy...        "
4,         I know I'm part of something greater than myself Don't know the meaning of it but I hope that matters less I don't know anything when I'm factored out of scale I know I'm part of something greater than myself We're all engaging in a game of attrition Maybe god is just a chemical fiction I'm a monkey with a madding affliction With fact checking for a mental condition I know I'm part of something greater than myself Don't know the meaning of it but I hope that matters less I don't know anything when I'm factored out of scale I know I'm part of something greater than myself        
5,"         Well, it was punk-fifteen in the morning And it was time to stand my ground. And as the gawks and stares bombarded me, You know, I didn't even hear a sound. No one gave a damn If I was there or away. If I died and went to hell, They'd throw a party on my grave And they'd all say, ""This kid is just a fool, he'll never be cool. They might as well just ship him off to some other school."" Plain destitute, Just a little too guilty, just a little too soon... That day was just like any other day, No work, and no pay. I knew that paradise was some other place And I'd get there another day. I will find it before I expire 'Cause I've got the desire. Well, it was punk-fifteen in the evening And it was time to set the town on fire. I saw my boots and my hair As reflected in the mirror Reveal a streetkid named desire. I didn't give a damn Because I was just dying to be And as the Hollywood street scene Left its mark on me. I changed from a boy into a man. I said: ""never again!"" I stuck out my chin when I should have ran, Shit in the fan. I was driven so hard By the sound of my heart, But that day was just like any other day, No work, and no pay. I knew that paradise was some other place And I'd get there another day. I will find it before I expire 'Cause I've got the desire. When the walls surround In deeper shades of blue And there's no voice of reason inside you And you search for meaning On an empty shelf, Then you're always dreaming Of somewhere else. Today is just like any other day, No fear, no restraint. I know that paradise is some other place And I will get there another day. You can come with me, No conditions or fares, Somehow, somewhere, I will find it before I expire 'Cause I've got the desire.        "
6,"         I'm going for a walk, Not the after dinner kind, I'm gonna use my hands And I'm gonna use my mind. And who the hell are you to tell me what to do? You can't even tie your own haggard shoes, Your closet is a mess, and your backyard's falling down, And I have no grand ideas or intentions of sticking around. I'm gonna build a world, Independent and exempt, All alone I'll be an empire, With no mortgage and no rent. And I don't need to live in your stinking zoo, You can't even feed the animals donated to you. Your storage sheds are ramshackled, flies decorate the walls, And you expect me to die here in this shit-filled tiny stall? And I know you're watching everything I do, Call me threat to your children, call me socially unglued, Call me master of insanity, unable to relate, Call me lazy, bane, and filthy, Call me monstrous reprobate. I'm going for a walk  And there's nothing you can do, 'cuz I don't have to live like you So I'm going for a walk.        "
7,"         I don't want to live In a world without melody. Sometimes the rhythmic din Of society is too much for me, But purpose is prioritized. These days the goal is win the prize. There's a sleeping resonance we hold Through which we're unified, So let it out!  Don't just get lost in the crowd, No one can deter you from your own path. There's no trip too remote From which you can't come back. And I've got this hunch about you and me, None of us are ready For a world without melody. Melody is the key, It's the surest way To unlock your individuality. Melody is the key, It will set you free! Don't disrelish harmony, Community will make you whole. Work and understanding are the chords Way deep within your soul. They only need to be struck once And the vibrations swell and spread, But if we mute them they decay, Our sensibilities are dead, So let it out!  Don't just be one of the crowd Hesitance and diffidence will do you in And your soul doesn't care For social medicine. And I've got this hunch About you and me, None of us are ready For a world without melody. Melody is the key, It's the surest way To unlock your individuality. Melody is the key, It will set you free! And I know together we could change the world, Just you and me, But I won't live without melody.        "
8,"         See all people in Afghanistan praying to the gods and living in the sand. Somebody’s gonna have to set them free, nobody hears the call or command. But it’s a long way to Harlem, and a long stretch to the king of Siam. And if you don’t have a penny, why should I give a damn? Ad Hominem. You think you’re better than I am? Ad Hominem. You think you’re better than I am. See all the suckers in the handout line living on scraps and they don’t have a dime. Waiting for endless charity devoid of any sense of posterity. Well there’s no Great Depression and there’s no Great Society. And only few go to heaven, all the rest are damned and free. Ad Hominem. You think you’re better than I am? Ad Hominem. You think you’re better than I am. I’m just a soft-cover version of a much harder tale. A walking resemblance of ruts in the trail. Is it possible to divide your ideas and beliefs. Ideas and beliefs. Ideas and beliefs from the people that you don’t like? Ad Hominem. You think you’re better than I am? Ad Hominem. You think you’re better than I am.        "
9,"         Some live, some die,  Everybody wonders why we're here: Should we even try? Philosophers lost in the night. A beacon in the distance, You gotta turn around. Its vestige dimly flickers in elocution sound The modernist's chronometer uptight and underwhelmed,Pretensions of a higher ground. Higher ground... Introspective paradise found. Adam's atoms resound. Economy of nature, The dead and shallow graves, The particles of happiness elude us in remains. A psychosymbiotical reflection on the waves, Eternal as the night and day. Night and day... Omnipresent sealers of fate, Adam's atoms remain. The righteous opposition has led us all astray, One side against the other, one loses, one reclaimed And if reconciliation eludes us everyday, Then will we ever find a way? Find a way... Not with a religionists gaze. Adam's atoms remain. Adam's atoms betray. Adam's atoms remain.        "
